id,Active Probes,PCAP (Small/Big),T0 - tcpreplay (UTC),T1 - Suricata (UTC),T2 - OpenSearch (UTC),Probe CPU (%),Probe RAM (MiB),,
1,1,smallFlows.pcap,2025-09-12T20:29:27.510246,2025-09-12T20:29:27.619236,2025-09-12T20:29:28.016606,143m,546Mi,,
2,1,smallFlows.pcap,2025-09-12T20:29:45.030901,2025-09-12T20:29:45.111546,2025-09-12T20:29:46.077379,143m,546Mi,,
3,1,smallFlows.pcap,2025-09-12T20:30:02.530513,2025-09-12T20:30:02.639900,2025-09-12T20:30:02.918711,143m,546Mi,,
4,1,bigFlows.pcap,2025-09-12T20:30:20.045525,2025-09-12T20:30:20.297125,2025-09-12T20:30:20.992956,143m,546Mi,,
5,1,bigFlows.pcap,2025-09-12T20:35:14.542137,2025-09-12T20:35:14.655664,2025-09-12T20:35:14.979528,162m,548Mi,,
6,1,bigFlows.pcap,2025-09-12T20:40:09.046376,2025-09-12T20:40:09.171876,2025-09-12T20:40:10.017071,144m,553Mi,,
7,1,smallFlows.pcap,2025-09-12T20:45:03.544023,2025-09-12T20:45:03.633755,2025-09-12T20:45:04.037384,156m,554Mi,,
8,1,smallFlows.pcap,2025-09-12T20:45:21.025158,2025-09-12T20:45:21.122211,2025-09-12T20:45:21.925080,107m,554Mi,,
9,1,smallFlows.pcap,2025-09-12T20:45:38.518989,2025-09-12T20:45:38.615649,2025-09-12T20:45:38.977250,118m,554Mi,,
10,1,bigFlows.pcap,2025-09-12T20:45:56.019377,2025-09-12T20:45:56.194354,2025-09-12T20:45:57.015516,82m ,554Mi,,
11,1,smallFlows.pcap,2025-09-12T20:50:50.531054,2025-09-12T20:50:50.635300,2025-09-12T20:50:51.012080,157m,555Mi,,
12,1,bigFlows.pcap,2025-09-12T20:51:08.031896,2025-09-12T20:51:08.122366,2025-09-12T20:51:09.112648,133m,554Mi,,
13,1,bigFlows.pcap,2025-09-12T20:56:02.550729,2025-09-12T20:56:02.696007,2025-09-12T20:56:03.860313,170m ,554Mi,,
14,1,smallFlows.pcap,2025-09-12T21:00:57.052083,2025-09-12T21:00:57.157735,2025-09-12T21:00:58.095392,177m,554Mi,,
15,1,smallFlows.pcap,2025-09-12T21:01:14.627124,2025-09-12T21:01:14.727802,2025-09-12T21:01:15.965736,104m,554Mi,,
16,1,smallFlows.pcap,2025-09-12T21:01:32.134314,2025-09-12T21:01:32.235833,2025-09-12T21:01:32.993074,140m , 554Mi,,
17,1,smallFlows.pcap,2025-09-12T21:01:49.637667,2025-09-12T21:01:49.719583,2025-09-12T21:01:50.925053,105m ,554Mi,,
18,1,smallFlows.pcap,2025-09-12T21:02:07.117570,2025-09-12T21:02:07.231888,2025-09-12T21:02:08.092770,91m,554Mi,,
19,1,bigFlows.pcap,2025-09-12T21:02:24.628433,2025-09-12T21:02:24.889725,2025-09-12T21:02:25.998371,68m,554Mi,,
20,1,smallFlows.pcap,2025-09-12T21:07:19.150972,2025-09-12T21:07:19.251858,2025-09-12T21:07:19.946727,151m ,554Mi,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,id,Probe Latency (s),Indexing Latency (s),Total Latency (s),,143,,0.959063,1.3401783
,1,0.10899,0.397370,0.50636,,143,,0.959063,1.3401783
,2,0.080645,0.965833,1.046478,,143,,0.959063,1.3401783
,3,0.109387,0.278811,0.388198,,143,,0.959063,1.3401783
,4,0.2516,0.695831,0.947431,,162,,0.959063,1.3401783
,5,0.113527,0.323864,0.437391,,144,,0.959063,1.3401783
,6,0.1255,0.845195,0.970695,,156,,0.959063,1.3401783
,7,0.089732,0.403629,0.493361,,107,,0.959063,1.3401783
,8,0.097053,0.802869,0.899922,,118,,0.959063,1.3401783
,9,0.09666,0.361601,0.458261,,82,,0.959063,1.3401783
,10,0.174977,0.821162,0.996139,,157,,0.959063,1.3401783
,11,0.104246,0.37678,0.481026,,133,,0.959063,1.3401783
,12,0.09047,0.990282,1.080752,,170,,0.959063,1.3401783
,13,0.145278,1.164306,1.309584,,177,,0.959063,1.3401783
,14,0.105652,0.937657,1.043309,,104,,0.959063,1.3401783
,15,0.100678,1.237934,1.338612,,140,,0.959063,1.3401783
,16,0.101519,0.757241,0.85876,,105,,0.959063,1.3401783
,17,0.081916,1.20547,1.287386,,91,,0.959063,1.3401783
,18,0.114318,0.860882,0.9752,,68,,0.959063,1.3401783
,19,0.261292,1.108646,1.369938,,151,,0.959063,1.3401783
,20,0.100886,0.694869,0.795755,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,id,Probe Latency (s),,id,Indexing Latency (s),,id,Total Latency (s),
,1,0.10899,,1,0.39737,,1,0.50636,
,2,0.080645,,2,0.965833,,2,1.046478,
,3,0.109387,,3,0.278811,,3,0.388198,
,4,0.2516,,4,0.695831,,4,0.947431,
,5,0.113527,,5,0.323864,,5,0.437391,
,6,0.1255,,6,0.845195,,6,0.970695,
,7,0.089732,,7,0.403629,,7,0.493361,
,8,0.097053,,8,0.802869,,8,0.899922,
,9,0.09666,,9,0.361601,,9,0.458261,
,10,0.174977,,10,0.821162,,10,0.996139,
,11,0.104246,,11,0.37678,,11,0.481026,
,12,0.09047,,12,0.990282,,12,1.080752,
,13,0.145278,,13,1.164306,,13,1.309584,
,14,0.105652,,14,0.937657,,14,1.043309,
,15,0.100678,,15,1.237934,,15,1.338612,
,16,0.101519,,16,0.757241,,16,0.85876,
,17,0.081916,,17,1.20547,,17,1.287386,
,18,0.114318,,18,0.860882,,18,0.9752,
,19,0.261292,,19,1.108646,,19,1.369938,
,20,0.100886,,20,0.694869,,20,0.795755,
,,,,,,,,,
,Average,0.1227163,,Average,0.7615116,,Average,0.8842279,
,Min,0.080645,,Min,0.278811,,Min,0.388198,
,Max,0.261292,,Max,1.237934,,Max,1.369938,
,Standard Deviation,0.05053771284,,Standard Deviation,0.3125459097,,Standard Deviation,0.3246358449,