Column 15,id,Active Probes,PCAP,T0 - tcpreplay (UTC),T1 - S0,T1 - S1,T1 -S2,T1 - S3,T1 - S4,T2 - S0,T2 - S1,T2 - S2,T2 - S3,T2 - S4,,,,,,,,,,,,,,,,,,,,,
,1,5,smallFlows.pcap,2025-09-13T21:27:44.560836,2025-09-13T21:27:44.643084,2025-09-13T21:27:44.733620,2025-09-13T21:27:44.733560,2025-09-13T21:27:44.733560,2025-09-13T21:27:44.687941,2025-09-13T21:27:45.691382,2025-09-13T21:27:45.690538,2025-09-13T21:27:45.691003,2025-09-13T21:27:45.690719,2025-09-13T21:27:45.690931,,,,,Probe Latency - S0,Probe Latency - S1,Probe Latency - S2,Probe Latency - S3,Probe Latency - S4,Indexing Latency - S0,Indexing Latency - S1,Indexing Latency - S2,Indexing Latency - S3,Indexing Latency - S4,Total Latency - S0,Total Latency - S1,Total Latency - S2,Total Latency - S3,Total Latency - S4,,
,2,5,bigFlows.pcap,2025-09-13T21:28:02.082090,2025-09-13T21:28:02.179917,2025-09-13T21:28:02.179848,2025-09-13T21:28:02.180803,2025-09-13T21:28:02.180008,2025-09-13T21:28:02.333840,2025-09-13T21:28:13.380871,2025-09-13T21:28:13.865619,2025-09-13T21:28:13.859802,2025-09-13T21:28:12.897456,2025-09-13T21:28:13.499483,,,,,0.082248,0.172784,0.172724,0.172724,0.127105,1.048298,0.956918,0.957443,0.957159,1.002990,1.130546 ,1.129702,1.130167,1.129883,1.130095 ,,
,3,5,smallFlows.pcap,2025-09-13T21:32:56.686425,2025-09-13T21:32:56.795412,2025-09-13T21:32:56.795412,2025-09-13T21:32:56.800247,2025-09-13T21:32:56.795412,2025-09-13T21:32:56.690631,2025-09-13T21:34:38.235887,2025-09-13T21:34:38.242110,2025-09-13T21:34:38.231427,2025-09-13T21:34:38.231717,2025-09-13T21:34:37.959076,,,,,0.097827,0.097758,0.098713,0.097918,0.251750,11.200954,11.685771,11.678999,10.717448,11.165643,11.298781 ,11.783529,11.777712,10.815366,11.417393 ,,
,4,5,smallFlows.pcap,2025-09-13T21:33:14.266572,2025-09-13T21:33:14.372296,2025-09-13T21:33:14.372296,2025-09-13T21:33:14.372296,2025-09-13T21:33:14.372296,2025-09-13T21:33:14.372296,2025-09-13T21:35:13.569358,2025-09-13T21:35:13.152782,2025-09-13T21:35:13.930672,2025-09-13T21:35:13.797766,2025-09-13T21:35:13.159754,,,,,0.108987,0.108987,0.113822,0.108987,0.004206,101.440475,101.446698,101.431180,101.436305,101.268445,101.549462 ,101.555685,101.545002,101.545292,101.272651 ,,
,5,5,bigFlows.pcap,2025-09-13T21:33:31.772883,2025-09-13T21:33:31.896143,2025-09-13T21:33:32.034847,2025-09-13T21:33:31.933892,2025-09-13T21:33:31.933892,2025-09-13T21:33:31.896143,2025-09-13T21:35:31.777655,2025-09-13T21:35:31.785675,2025-09-13T21:35:31.500719,2025-09-13T21:35:31.505280,2025-09-13T21:35:31.907613,,,,,0.105724,0.105724,0.105724,0.105724,0.105724,119.197062,118.780486,119.558376,119.425470,118.787458,119.302786 ,118.886210,119.664100,119.531194,118.893182 ,,
,6,5,bigFlows.pcap,2025-09-13T21:38:26.322689,2025-09-13T21:38:26.464053,2025-09-13T21:38:26.464053,2025-09-13T21:38:26.464053,2025-09-13T21:38:26.464053,2025-09-13T21:38:26.464053,2025-09-13T21:43:08.762920,2025-09-13T21:43:08.718820,2025-09-13T21:43:08.894811,2025-09-13T21:43:08.762527,2025-09-13T21:43:08.726153,,,,,0.123260,0.261964,0.161009,0.161009,0.123260,119.881512,119.750828,119.566827,119.571388,120.011470,120.004772 ,120.012792,119.727836,119.732397,120.13473 ,,
,7,5,bigFlows.pcap,2025-09-13T21:43:20.919646,2025-09-13T21:43:21.048574,2025-09-13T21:43:21.048574,2025-09-13T21:43:20.973869,2025-09-13T21:43:20.962895,2025-09-13T21:43:21.048574,2025-09-13T21:50:01.021273,2025-09-13T21:50:01.577708,2025-09-13T21:50:00.059912,2025-09-13T21:49:59.857918,2025-09-13T21:50:01.579871,,,,,0.141364,0.141364,0.141364,0.141364,0.141364,282.298867,282.254767,282.430758,282.298474,282.262100,282.440231 ,282.396131,282.572122,282.439838,282.403464 ,,
,8,5,bigFlows.pcap,2025-09-13T21:48:15.425247,2025-09-13T21:48:15.548089,2025-09-13T21:48:15.548089,2025-09-13T21:48:15.507305,2025-09-13T21:48:15.564568,2025-09-13T21:48:15.534610,2025-09-13T21:57:36.141170,2025-09-13T21:57:36.138682,2025-09-13T21:57:36.015409,2025-09-13T21:57:36.141728,2025-09-13T21:57:36.141507,,,,,0.128928,0.128928,0.054223,0.043249,0.128928,399.972699,400.529134,399.086043,398.895023,400.531297,400.101627 ,400.658062,399.140266,398.938272,400.660225 ,,
,9,5,smallFlows.pcap,2025-09-13T23:00:02.771455,2025-09-13T23:00:02.874029,2025-09-13T23:00:02.875886,2025-09-13T23:00:02.875886,2025-09-13T23:00:02.979605,2025-09-13T23:00:02.875886,2025-09-13T23:00:08.695782,2025-09-13T23:00:07.728076,2025-09-13T23:00:07.912311,2025-09-13T23:00:08.695357,2025-09-13T23:00:07.728047,,,,,0.122842,0.122842,0.082058,0.139321,0.109363,560.593081,560.590593,560.508104,560.577160,560.606897,560.715923 ,560.713435,560.590162,560.716481,560.71626 ,,
,10,5,smallFlows.pcap,2025-09-13T23:00:20.309910,2025-09-13T23:00:20.397791,2025-09-13T23:00:20.397791,2025-09-13T23:00:20.397791,2025-09-13T23:00:20.397791,2025-09-13T23:00:20.359894,2025-09-13T23:00:33.741928,2025-09-13T23:00:34.027891,2025-09-13T23:00:33.566309,2025-09-13T23:00:33.812906,2025-09-13T23:00:33.111631,,,,,0.102574,0.104431,0.104431,0.208150,0.104431,5.821753,4.852190,5.036425,5.715752,4.852161,5.924327 ,4.956621,5.140856,5.923902,4.956592 ,,
,11,5,smallFlows.pcap,2025-09-13T23:00:37.808419,2025-09-13T23:00:37.890191,2025-09-13T23:00:37.890191,2025-09-13T23:00:37.866768,2025-09-13T23:00:37.890191,2025-09-13T23:00:37.890191,2025-09-13T23:00:51.388431,2025-09-13T23:00:50.915800,2025-09-13T23:00:50.916043,2025-09-13T23:00:51.379386,2025-09-13T23:00:50.916239,,,,,0.087881,0.087881,0.087881,0.087881,0.049984,13.344137,13.630100,13.168518,13.415115,12.751737,13.432018 ,13.717981,13.256399,13.502996,12.801721 ,,
,12,5,bigFlows.pcap,2025-09-13T23:00:55.327343,2025-09-13T23:00:55.479414,2025-09-13T23:00:55.429895,2025-09-13T23:00:55.479414,2025-09-13T23:00:55.479414,2025-09-13T23:00:55.379766,2025-09-13T23:01:07.789908,2025-09-13T23:01:07.116328,2025-09-13T23:01:07.567556,2025-09-13T23:01:07.547635,2025-09-13T23:01:07.129567,,,,,0.081772,0.081772,0.058349,0.081772,0.081772,13.498240,13.025609,13.049275,13.489195,13.026048,13.580012 ,13.107381,13.107624,13.570967,13.10782 ,,
,13,5,smallFlows.pcap,2025-09-13T23:05:49.878720,2025-09-13T23:05:50.004838,2025-09-13T23:05:50.004838,2025-09-13T23:05:50.004838,2025-09-13T23:05:50.004838,2025-09-13T23:05:50.004838,2025-09-13T23:09:18.292037,2025-09-13T23:09:18.412725,2025-09-13T23:09:18.636022,2025-09-13T23:09:19.571960,2025-09-13T23:09:18.286696,,,,,0.152071,0.102552,0.152071,0.152071,0.052423,12.310494,11.686433,12.088142,12.068221,11.749801,12.462565 ,11.788985,12.240213,12.220292,11.802224 ,,
,14,5,bigFlows.pcap,2025-09-13T23:06:07.417442,2025-09-13T23:06:07.529699,2025-09-13T23:06:07.500958,2025-09-13T23:06:07.529699,2025-09-13T23:06:07.529699,2025-09-13T23:06:07.500601,2025-09-13T23:09:45.783903,2025-09-13T23:09:45.611869,2025-09-13T23:09:45.555833,2025-09-13T23:09:45.784804,2025-09-13T23:09:44.827863,,,,,0.126118,0.126118,0.126118,0.126118,0.126118,208.287199,208.407887,208.631184,209.567122,208.281858,208.413317 ,208.534005,208.757302,209.693240,208.407976 ,,
,15,5,smallFlows.pcap,2025-09-13T23:11:01.990584,2025-09-13T23:11:02.125605,2025-09-13T23:11:02.125605,2025-09-13T23:11:02.125605,2025-09-13T23:11:02.125605,2025-09-13T23:11:02.125605,2025-09-13T23:16:28.387916,2025-09-13T23:17:12.511954,2025-09-13T23:17:00.317806,2025-09-13T23:17:09.150335,2025-09-13T23:16:49.256434,,,,,0.112257,0.083516,0.112257,0.112257,0.083159,218.254204,218.110911,218.026134,218.255105,217.327262,218.366461 ,218.194427,218.138391,218.367362,217.410421 ,,
,16,5,smallFlows.pcap,2025-09-13T23:11:19.537679,2025-09-13T23:11:19.610222,2025-09-13T23:11:19.609569,2025-09-13T23:11:19.571041,2025-09-13T23:11:19.609569,2025-09-13T23:11:19.585228,2025-09-13T23:16:57.899942,2025-09-13T23:17:44.159263,2025-09-13T23:17:09.647850,2025-09-13T23:17:37.013341,2025-09-13T23:17:18.733563,,,,,0.135021,0.135021,0.135021,0.135021,0.135021,326.262311,370.386349,358.192201,367.024730,347.130829,326.397332 ,370.521370,358.327222,367.159751,347.26585 ,,
,17,5,bigFlows.pcap,2025-09-13T23:11:37.016675,2025-09-13T23:11:37.279807,2025-09-13T23:11:37.157406,2025-09-13T23:11:37.179009,2025-09-13T23:11:37.179009,2025-09-13T23:11:37.279807,2025-09-13T23:17:26.234754,2025-09-13T23:18:01.544466,2025-09-13T23:17:14.535906,2025-09-13T23:17:46.608836,2025-09-13T23:17:33.902747,,,,,0.072543,0.071890,0.033362,0.071890,0.047549,338.289720,384.549694,350.076809,377.403772,359.148335,338.362263 ,384.621584,350.110171,377.475662,359.195884 ,,
,18,5,smallFlows.pcap,2025-09-13T23:16:31.626603,2025-09-13T23:16:31.636467,2025-09-13T23:16:31.639789,2025-09-13T23:16:31.640880,2025-09-13T23:16:31.640908,2025-09-13T23:16:31.630085,2025-09-13T23:24:06.412766,2025-09-13T23:24:06.412796,2025-09-13T23:24:06.412751,2025-09-13T23:24:06.412917,2025-09-13T23:24:06.412781,,,,,0.263132,0.140731,0.162334,0.162334,0.263132,348.954947,384.387060,337.356897,369.429827,356.622940,349.218079 ,384.527791,337.519231,369.592161,356.886072 ,,
,19,5,smallFlows.pcap,2025-09-13T23:16:49.219124,2025-09-13T23:16:49.312371,2025-09-13T23:16:49.312371,2025-09-13T23:16:49.312371,2025-09-13T23:16:49.312371,2025-09-13T23:16:49.312371,2025-09-13T23:24:26.755256,2025-09-13T23:24:26.474621,2025-09-13T23:24:26.704680,2025-09-13T23:24:26.704230,2025-09-13T23:24:26.296620,,,,,0.009864,0.013186,0.014277,0.014305,0.003482,454.776299,454.773007,454.771871,454.772009,454.782696,454.786163 ,454.786193,454.786148,454.786314,454.786178 ,,
,20,5,bigFlows.pcap,2025-09-13T23:17:06.694238,2025-09-13T23:17:06.705992,2025-09-13T23:17:06.758894,2025-09-13T23:17:06.884741,2025-09-13T23:17:06.711226,2025-09-13T23:17:06.879068,2025-09-13T23:24:41.215350,2025-09-13T23:24:41.427531,2025-09-13T23:24:41.652826,2025-09-13T23:24:41.212234,2025-09-13T23:24:41.672143,,,,,0.093247,0.093247,0.093247,0.093247,0.093247,457.442885,457.162250,457.392309,457.391859,456.984249,457.536132 ,457.255497,457.485556,457.485106,457.077496 ,,
,21,5,smallFlows.pcap,2025-09-13T23:22:01.324234,2025-09-13T23:22:01.415253,2025-09-13T23:22:01.415253,2025-09-13T23:22:01.415253,2025-09-13T23:22:01.415253,2025-09-13T23:22:01.415253,2025-09-13T23:32:08.056721,2025-09-13T23:32:07.771904,2025-09-13T23:32:07.768266,2025-09-13T23:32:07.648939,2025-09-13T23:32:07.768905,,,,,0.011754,0.064656,0.190503,0.016988,0.184830,454.509358,454.668637,454.768085,454.501008,454.793075,454.521112 ,454.733293,454.958588,454.517996,454.977905 ,,
,22,5,bigFlows.pcap,2025-09-13T23:22:18.811568,2025-09-13T23:22:18.933140,2025-09-13T23:22:18.933140,2025-09-13T23:22:18.920704,2025-09-13T23:22:18.933140,2025-09-13T23:22:19.002879,2025-09-13T23:32:29.754739,2025-09-13T23:32:29.483276,2025-09-13T23:32:30.294870,2025-09-13T23:32:29.854615,2025-09-13T23:32:30.227327,,,,,0.091019,0.091019,0.091019,0.091019,0.091019,606.641468,606.356651,606.353013,606.233686,606.353652,606.732487 ,606.447670,606.444032,606.324705,606.444671 ,,
,23,5,smallFlows.pcap,2025-09-13T23:27:13.365182,2025-09-13T23:27:13.479359,2025-09-13T23:27:13.479359,2025-09-13T23:27:13.479359,2025-09-13T23:27:13.479359,2025-09-13T23:27:13.479359,2025-09-13T23:41:01.791385,2025-09-13T23:41:01.169645,2025-09-13T23:41:01.176661,2025-09-13T23:41:01.790363,2025-09-13T23:41:01.177600,,,,,0.121572,0.121572,0.109136,0.121572,0.191311,610.821599,610.550136,611.374166,610.921475,611.224448,610.943171 ,610.671708,611.483302,611.043047,611.415759 ,,
,24,5,bigFlows.pcap,2025-09-13T23:27:30.903888,2025-09-13T23:27:31.006417,2025-09-13T23:27:31.079299,2025-09-13T23:27:31.089690,2025-09-13T23:27:31.089690,2025-09-13T23:27:31.079299,2025-09-13T23:41:27.967653,2025-09-13T23:41:27.310921,2025-09-13T23:41:27.314901,2025-09-13T23:41:28.302435,2025-09-13T23:41:28.558804,,,,,0.114177,0.114177,0.114177,0.114177,0.114177,828.312026,827.690286,827.697302,828.311004,827.698241,828.426203 ,827.804463,827.811479,828.425181,827.812418 ,,
,25,5,smallFlows.pcap,2025-09-13T23:32:25.484094,2025-09-13T23:32:25.567526,2025-09-13T23:32:25.567526,2025-09-13T23:32:25.567526,2025-09-13T23:32:25.567526,2025-09-13T23:32:25.567526,2025-09-13T23:49:24.319536,2025-09-13T23:49:24.313014,2025-09-13T23:49:24.069743,2025-09-13T23:49:24.475948,2025-09-13T23:49:24.470430,,,,,0.102529,0.175411,0.185802,0.185802,0.175411,836.961236,836.231622,836.225211,837.212745,837.479505,837.063765 ,836.407033,836.411013,837.398547,837.654916 ,,
,,,,,,,,,,,,,,,,,,,0.083432,0.083432,0.083432,0.083432,0.083432,1018.752010,1018.745488,1018.502217,1018.908422,1018.902904,1018.835442 ,1018.828920,1018.585649,1018.991854,1018.986336 ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Total Latency - S0,Total Latency - S1,Total Latency - S2,Total Latency - S3,Total Latency - S4,Average Latency,Min Latency,Max Latency,Standard Deviation ,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.130546,1.129702,1.130167,1.129883,1.130095,1.1300786,1.129702,1.130546,0.00028517826,,Probe CPU - S0,Probe CPU - S1,Probe CPU  - S2,Probe CPU - S3,Probe CPU - S4,Probe RAM (MiB) - S0,Probe RAM (MiB) - S1,Probe RAM (MiB) - S2,Probe RAM (MiB) - S3,Probe RAM (MiB) - S4,,,id,CPU Kafka (%),Ram Kafka (MiB),CPU Logstash (%),RAM Logstash (MiB),,CPU Opensearch Node 1 (%),RAM Opensearch Node 1 (MiB),CPU Opensearch Node 2,RAM Opensearch Node 2 (MiB),,,
2,11.298781,11.783529,11.777712,10.815366,11.417393,11.4185562,10.815366,11.783529,0.3578781643,,140m,158m,106m,107m,105m,525Mi,487Mi,484Mi,477Mi,500Mi,,,1,3.78%,217.8,60.28%,846.1MiB,,18.34%,976.1MiB,64.17%,1.054GiB,,,
